contracts,cpuCores,ftpPortOpen,hasAdminRights,hostname,httpPortOpen,ip,isConnectedTo,maxRam,messages,organizationName,programs,ramUsed,runningScripts,scripts,serversOnNetwork,smtpPortOpen,sqlPortOpen,sshPortOpen,textFiles,purchasedByPlayer,backdoorInstalled,baseDifficulty,hackDifficulty,minDifficulty,moneyAvailable,moneyMax,numOpenPortsRequired,openPortCount,requiredHackingSkill,serverGrowth,fullpath 
 ,1,false,true,home,false,15.1.0.7,true,8,,Home PC,,3.8,,,,false,false,false,,true,false,1,1,1,0,0,5,0,1,1, 
,1,false,true,n00dles,false,51.0.0.1,false,4,,Noodle Bar,,0,,,,false,false,false,,false,false,1,1.012,1,68289,1750000,0,0,1,3000,:n00dles 
,1,false,true,home,false,15.1.0.7,true,8,,Home PC,,3.8,,,,false,false,false,,true,false,1,1,1,0,0,5,0,1,1,:n00dles:home 
,1,false,true,foodnstuff,false,16.4.4.1,false,16,,FoodNStuff,,13.8,,,,false,false,false,,false,true,10,3,3,7631603.634643306,50000000,0,0,1,5,:n00dles:home:foodnstuff 
,1,false,true,sigma-cosmetics,false,61.3.4.4,false,16,,Sigma Cosmetics,,13.8,,,,false,false,false,,false,false,10,10,3,2300000,57500000,0,0,5,10,:n00dles:home:foodnstuff:sigma-cosmetics 
,1,false,true,max-hardware,false,64.8.3.2,false,32,,Max Hardware Store,,29.9,,,,false,false,true,,false,true,15,15,5,10000000,250000000,1,1,80,30,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware 
,1,false,false,silver-helix,false,6.1.3.4,false,64,,Silver Helix,,0,,,,false,false,false,,false,false,30,30,10,45000000,1125000000,2,0,150,30,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix 
,1,false,false,phantasy,false,44.3.2.6,false,32,,Phantasy Club,,0,,,,false,false,false,,false,false,20,20,7,24000000,600000000,2,0,100,35,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy 
,1,false,false,johnson-ortho,false,92.9.2.2,false,0,,Johnson Orthopedics,,0,,,,false,false,false,,false,false,62,62,21,84605038,2115125950,2,0,263,60,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho 
,1,false,false,crush-fitness,false,88.7.7.4,false,0,,Crush Fitness,,0,,,,false,false,false,,false,false,39,39,13,47991570,1199789250,2,0,227,29,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness 
,1,false,false,summit-uni,false,55.7.4.7,false,64,,Summit University,,0,,,,false,false,false,,false,false,65,65,22,328442333,8211058325,3,0,454,45,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni 
,1,false,false,rho-construction,false,48.1.1.9,false,64,,Rho Construction,,0,,,,false,false,false,,false,false,52,52,17,557952500,13948812500,3,0,508,57,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction 
,1,false,false,galactic-cyber,false,99.1.4.9,false,0,,Galactic Cybersystems,,0,,,,false,false,false,,false,false,64,64,21,777188389,19429709725,5,0,852,78,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber 
,1,false,false,deltaone,false,53.5.8.2,false,0,,DeltaOne,,0,,,,false,false,false,,false,false,83,83,28,1394129599,34853239975,5,0,817,61,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone 
,1,false,false,univ-energy,false,80.1.5.4,false,16,,Universal Energy,,0,,,,false,false,false,,false,false,90,90,30,1170902447,29272561175,4,0,831,88,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy 
,1,false,false,solaris,false,70.7.7.7,false,16,,Solaris Space Systems,,0,,,,false,false,false,,false,false,70,70,23,749473100,18736827500,5,0,821,76,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris 
,1,false,false,nova-med,false,19.1.2.0,false,0,,Nova Medical,,0,,,,false,false,false,,false,false,71,71,24,1128066898,28201672450,4,0,849,81,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med 
,1,false,false,titan-labs,false,4.6.8.0,false,64,,Titan Laboratories,,0,,,,false,false,false,,false,false,78,78,26,856900939,21422523475,5,0,827,66,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs 
,1,false,false,fulcrumtech,false,62.5.6.6,false,256,,Fulcrum Technologies,,0,,,,false,false,false,,false,false,85,85,28,1581746978,39543674450,5,0,1000,94,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech 
,1,false,false,applied-energetics,false,64.5.2.2,false,0,,Applied Energetics,,0,,,,false,false,false,,false,false,73,73,24,885363604,22134090100,4,0,821,74,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics 
,1,false,false,helios,false,41.6.1.1,false,64,,Helios Labs,,0,,,,false,false,false,,false,false,93,93,31,746417333,18660433325,5,0,835,77,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios 
,1,false,false,omnitek,false,96.6.1.9,false,256,,OmniTek Incorporated,,0,,,,false,false,false,,false,false,92,92,31,13189690010,329742250250,5,0,1076,98,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek 
,1,false,false,b-and-a,false,56.6.0.3,false,0,,Bachman & Associates,,0,,,,false,false,false,,false,false,75,75,25,17274921439,431873035975,5,0,1064,66,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a 
